================ Wed Jul 24 11:56:49 EDT 2013 =========================
tgtd: [11:56:49.494273] work_timer_start(146) use timer_fd based scheduler
tgtd: [11:56:49.494661] bs_init(313) use signalfd notification
tgtd: [11:57:45.201252] caught signal 15, exiting
tgtd: [12:04:28.295744] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:31.049838] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:31.300399] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:34.054490] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:34.304986] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:37.059081] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:37.309552] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:40.063668] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:40.314209] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:43.068304] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:43.318790] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:46.072899] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:46.323406] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:49.077514] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:49.328015] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:52.082177] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:52.332751] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:55.087355] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:55.337846] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:58.091953] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:58.342413] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:01.097029] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:01.347561] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:04.101725] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:04.352689] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:07.106882] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:07.357336] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:10.111469] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:10.362030] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:13.116770] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:13.367266] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:16.121371] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:16.371825] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:19.126063] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:19.376556] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:22.130824] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:22.381362] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:25.135561] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:25.386057] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:28.140251] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:28.390751] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:31.144961] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:31.395504] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:34.149779] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:34.400248] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:37.154409] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:37.404905] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:40.159015] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:40.409580] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:43.163874] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:43.414345] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:46.168505] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:46.419020] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:49.173266] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:49.423768] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:52.178055] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:52.428608] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:55.182794] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:55.433272] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:05:58.187511] conn_init(68) connection open, 0x231eb28
tgtd: [12:05:58.438017] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:01.192015] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:01.442540] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:04.196695] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:04.447615] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:07.201858] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:07.452328] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:10.206502] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:10.457073] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:13.211338] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:13.461813] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:16.216079] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:16.466535] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:19.220786] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:19.471244] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:22.225485] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:22.476084] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:25.230240] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:25.480717] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:28.234975] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:28.485464] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:31.239635] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:31.490196] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:34.244238] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:34.494677] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:37.248860] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:37.499333] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:40.253370] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:40.503911] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:43.258068] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:43.508509] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:46.262711] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:46.513191] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:49.267371] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:49.517854] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:52.271928] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:52.522442] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:55.276602] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:55.527080] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:06:58.281306] conn_init(68) connection open, 0x231eb28
tgtd: [12:06:58.531771] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:01.285967] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:01.536491] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:04.290680] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:04.541586] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:07.295661] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:07.546143] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:10.300343] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:10.550844] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:13.305016] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:13.555486] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:16.309634] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:16.560109] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:19.314256] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:19.564821] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:22.319023] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:22.569579] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:25.323772] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:25.574231] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:28.328413] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:28.578864] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:31.333014] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:31.583650] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:34.337846] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:34.588345] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:37.342528] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:37.593044] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:40.347223] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:40.597728] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:43.351880] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:43.602461] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:46.362068] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:46.612661] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:49.366726] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:49.617235] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:52.371332] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:52.621843] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:55.375988] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:55.626517] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:07:58.380605] conn_init(68) connection open, 0x231eb28
tgtd: [12:07:58.631130] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:01.385200] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:01.635711] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:04.389896] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:04.640922] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:07.394945] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:07.645568] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:10.399760] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:10.650297] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:08:13.404470] conn_init(68) connection open, 0x231eb28
tgtd: [12:08:13.654958] conn_close(104) connection closed, 0x231eb28 1
